project,year,finder,category,cves
curl,2000,zillion,other,1
curl,2003,Daniel Stenberg,other,1
curl,2005,iDEFENSE,other,2
curl,2005,Stefan Esser,other,1
curl,2006,Ulf Harnhammar,other,1
curl,2007,Kees Cook,other,1
curl,2009,Scott Cantor,other,1
curl,2009,David Kierznowski,other,1
curl,2010,Dan Fandrich,other,1
curl,2010,Wesley Miaw,other,1
curl,2011,Richard Silverman,other,1
curl,2012,product-security at Apple,other,1
curl,2012,Dan Fandrich,other,1
curl,2013,Marc Deslauriers,other,1
curl,2013,Scott Cantor,other,1
curl,2013,Timo Sirainen,other,1
curl,2013,YAMADA Yasuharu,other,1
curl,2013,Volema,other,1
curl,2014,Tim Ruehsen,other,2
curl,2014,Symeon Paraschoudis,other,1
curl,2014,David Ryskalczyk,other,1
curl,2014,Roland Moriz,other,1
curl,2014,Richard Moore,other,1
curl,2014,Steve Holme,other,1
curl,2014,Paras Sethia,other,1
curl,2015,Hanno Böck,other,2
curl,2015,Daniel Stenberg,other,1
curl,2015,Tomas Tomecek,other,1
curl,2015,Kamil Dudka,other,1
curl,2015,Yehezkel Horowitz,other,1
curl,2015,Oren Souroujon,other,1
curl,2015,Isaac Boukris,other,1
curl,2015,Paras Sethia,other,1
curl,2015,Marc Hesse at RethinkDB,other,1
curl,2015,Andrey Labunets (Facebook),other,1
curl,2016,Cure53,other,7
curl,2016,Dan McNulty,other,2
curl,2016,Luật Nguyễn,other,2
curl,2016,Fernando Muñoz,other,2
curl,2016,Kamil Dudka,other,1
curl,2016,Daniel Stenberg,other,1
curl,2016,Christian Heimes,other,1
curl,2016,the Mitre CVE Assignment Team,other,1
curl,2016,Red Hat,other,1
curl,2016,Bru Rom,other,1
curl,2016,the curl security team,other,1
curl,2016,Marcelo Echeverria,other,1
curl,2016,Guohui from Huawei WeiRan Labs,other,1
curl,2016,Moti Avrahami,other,1
curl,2016,Ray Satiro (Jay),other,1
curl,2016,Isaac Boukris,other,1
curl,2017,Brian Carpenter (Geeknik Labs),other,2
curl,2017,Even Rouault,other,2
curl,2017,John Schoenick,other,1
curl,2017,OSS-Fuzz,fuzz,1
curl,2017,Alex Nichols,other,1
curl,2017,0xd34db347,other,1
curl,2017,Max Dymond,other,1
curl,2017,Brian Carpenter,other,1
curl,2017,Yongji Ouyang,other,1
curl,2017,Marcel Raad,other,1
curl,2017,lijian996 on github,other,1
curl,2017,Marcus Hoffmann,other,1
curl,2018,Brian Carpenter (Geeknik Labs),other,2
curl,2018,Dario Weisser,other,2
curl,2018,Harry Sintonen,other,1
curl,2018,Zhaoyang Wu,other,1
curl,2018,Peter Wu,other,1
curl,2018,OSS-Fuzz,fuzz,1
curl,2018,OSS-fuzz,fuzz,1
curl,2018,Duy Phan Thanh,other,1
curl,2018,Craig de Stigter,other,1
curl,2018,Zhouyihai Ding,other,1
curl,2019,Thomas Vegas,other,2
curl,2019,Wenxiang Qian of Tencent Blade Team,other,2
curl,2019,Rich Mirch,other,1
