quantity,parameter,point,point_float,year,value,value_float
mu,sigma,11/20,0.55,1920,43/280,0.15357142857142858
mu,sigma,11/20,0.55,1931,703/4920,0.14288617886178862
mu,sigma,11/20,0.55,1933,5963/41760,0.14279214559386974
mu,sigma,11/20,0.55,1942,33/232,0.14224137931034483
mu,sigma,11/20,0.55,1949,17/120,0.14166666666666666
mu,sigma,11/20,0.55,1963,313/2220,0.140990990990991
mu,sigma,11/20,0.55,1973,1805/12804,0.1409715713839425
mu,sigma,11/20,0.55,1982,913/6480,0.14089506172839505
mu,sigma,11/20,0.55,1985,1813/12870,0.14087024087024086
mu,sigma,11/20,0.55,1988,409/2960,0.13817567567567568
mu,sigma,11/20,0.55,1989,40481/295200,0.13713075880758807
mu,sigma,11/20,0.55,1991,10447/76680,0.1362415232133542
mu,sigma,11/20,0.55,1993,144431/1065900,0.13550145417018483
mu,sigma,11/20,0.55,1995,897203/6651900,0.13487920744448956
mu,sigma,11/20,0.55,1996,27501319/204061860,0.1347695203797515
mu,sigma,11/20,0.55,2017,26911/200880,0.13396555157307846
mu,sigma,11/20,0.55,2023,2/15,0.13333333333333333
mu,sigma,23/40,0.575,1920,79/560,0.14107142857142857
mu,sigma,23/40,0.575,1931,433/3280,0.13201219512195123
mu,sigma,23/40,0.575,1933,3673/27840,0.13193247126436783
mu,sigma,23/40,0.575,1942,61/464,0.1314655172413793
mu,sigma,23/40,0.575,1949,241/1840,0.1309782608695652
mu,sigma,23/40,0.575,1963,193/1480,0.1304054054054054
mu,sigma,23/40,0.575,1973,1113/8536,0.13038894095595127
mu,sigma,23/40,0.575,1982,563/4320,0.13032407407407406
mu,sigma,23/40,0.575,1985,43/330,0.1303030303030303
mu,sigma,23/40,0.575,1988,5259/41440,0.12690637065637064
mu,sigma,23/40,0.575,1989,173897/1377600,0.1262318524970964
mu,sigma,23/40,0.575,1991,19271/153360,0.1256585811163276
mu,sigma,23/40,0.575,1993,266863/2131800,0.12518200581668074
mu,sigma,23/40,0.575,1995,550993/4434600,0.12424863572813782
mu,sigma,23/40,0.575,1996,8445997/68020620,0.1241681860588745
mu,sigma,23/40,0.575,2017,115837/937440,0.1235673749786653
mu,sigma,23/40,0.575,2023,761217/6206120,0.12265586227788054
mu,sigma,3/5,0.6,1920,9/70,0.12857142857142856
mu,sigma,3/5,0.6,1931,149/1230,0.12113821138211382
mu,sigma,3/5,0.6,1933,158/1305,0.1210727969348659
mu,sigma,3/5,0.6,1942,7/58,0.1206896551724138
mu,sigma,3/5,0.6,1949,83/690,0.12028985507246377
mu,sigma,3/5,0.6,1963,133/1110,0.11981981981981982
mu,sigma,3/5,0.6,1973,767/6402,0.11980631052796001
mu,sigma,3/5,0.6,1982,97/810,0.11975308641975309
mu,sigma,3/5,0.6,1985,1541/12870,0.11973581973581973
mu,sigma,3/5,0.6,1988,599/5180,0.11563706563706563
mu,sigma,3/5,0.6,1989,59581/516600,0.11533294618660472
mu,sigma,3/5,0.6,1991,1103/9585,0.11507563901930098
mu,sigma,3/5,0.6,1993,30608/266475,0.11486255746317665
mu,sigma,3/5,0.6,1995,188944/1662975,0.1136180640117861
mu,sigma,3/5,0.6,1996,23174663/204061860,0.11356685173799749
mu,sigma,3/5,0.6,2017,79567/703080,0.11316919838425214
mu,sigma,3/5,0.6,2023,349193/3103060,0.11253182342590862
mu,sigma,5/8,0.625,1920,13/112,0.11607142857142858
mu,sigma,5/8,0.625,1931,217/1968,0.11026422764227642
mu,sigma,5/8,0.625,1933,1841/16704,0.11021312260536398
mu,sigma,5/8,0.625,1942,51/464,0.10991379310344827
mu,sigma,5/8,0.625,1949,121/1104,0.10960144927536232
mu,sigma,5/8,0.625,1963,97/888,0.10923423423423423
mu,sigma,5/8,0.625,1973,2797/25608,0.10922368009996876
mu,sigma,5/8,0.625,1982,283/2592,0.1091820987654321
mu,sigma,5/8,0.625,1985,281/2574,0.10916860916860917
mu,sigma,5/8,0.625,1988,455/4343,0.10476629058254662
mu,sigma,5/8,0.625,1989,45430/433919,0.10469695957079547
mu,sigma,5/8,0.625,1991,3375/32254,0.10463818441123582
mu,sigma,5/8,0.625,1993,187815/1795736,0.10458942739912772
mu,sigma,5/8,0.625,1995,54805/532152,0.10298749229543439
mu,sigma,5/8,0.625,1996,4202267/40812372,0.10296551741712047
mu,sigma,5/8,0.625,2017,57805/562464,0.10277102178983899
mu,sigma,5/8,0.625,2023,127111/1241224,0.10240778457393669
mu,sigma,13/20,0.65,1920,29/280,0.10357142857142858
mu,sigma,13/20,0.65,1931,163/1640,0.09939024390243903
mu,sigma,13/20,0.65,1933,461/4640,0.09935344827586207
mu,sigma,13/20,0.65,1942,23/232,0.09913793103448276
mu,sigma,13/20,0.65,1949,91/920,0.09891304347826087
mu,sigma,13/20,0.65,1963,73/740,0.09864864864864865
mu,sigma,13/20,0.65,1973,421/4268,0.09864104967197751
mu,sigma,13/20,0.65,1982,71/720,0.09861111111111111
mu,sigma,13/20,0.65,1985,141/1430,0.0986013986013986
mu,sigma,13/20,0.65,1988,11859/125620,0.09440375736347716
mu,sigma,13/20,0.65,1989,237247/2513428,0.09439180274907417
mu,sigma,13/20,0.65,1991,44131/467580,0.09438171008169725
mu,sigma,13/20,0.65,1993,61475/651402,0.09437336698382873
mu,sigma,13/20,0.65,1995,146271/1583180,0.0923906315137887
mu,sigma,13/20,0.65,2017,43297/468720,0.09237284519542584
mu,sigma,13/20,0.65,2023,143181/1551530,0.09228374572196477
mu,sigma,27/40,0.675,1920,51/560,0.09107142857142857
