cve,published,severity,reporter,explicit_ai,ai_affiliated,ai_evidence_url,fuzz,affected_versions,source_discovery,source_url,source_sha256,metadata_commit
CVE-2009-1379,2009-05-12,Unknown,"Daniel Mentz, Robin Seggelmann",no,no,,no,0.9.8 to <0.9.8m,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2009-1379.json,40359970342d43975e982cdcf4eb055d3aeb858e4f29894245b7144030293533,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2009-1386,2009-06-02,Unknown,Alex Lam,no,no,,no,0.9.8 to <0.9.8i,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2009-1386.json,4075a47d0da3150745555c84577e95bf33b35f2319418148ea00b4ce6d16ac6f,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2009-3555,2009-11-05,Unknown,,no,no,,no,0.9.8 to <0.9.8m,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2009-3555.json,6a2c7ccebd5cdff326d1395bf66e1475af15453ddc1d3efe437d7f5bf7ffce28,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2009-4355,2010-01-13,Unknown,Michael K Johnson and Andy Grimm (rPath),no,no,,no,0.9.8 to <0.9.8m,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2009-4355.json,d93ff00171a6fc2bf2ff7487e9b81c3e13d8b1f9bd61910048c360db1a4736a6,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2010-0433,2010-01-19,Unknown,"Todd Rinaldo, Tomas Hoger (Red Hat)",no,no,,no,0.9.8 to <0.9.8n,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2010-0433.json,52d4ae9415b4964269eb3ffd9ec8f0dd1e15fb66b205d837c2c8b2aa9c0e21be,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2009-3245,2010-02-23,Unknown,"Martin Olsson, Neel Mehta",no,no,,no,0.9.8 to <0.9.8m,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2009-3245.json,b3b9bb7310d6f9da07f6fdd69a371f0bd6edefb53cfd820245fe355e49a7fed4,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2010-0740,2010-03-24,Unknown,Bodo Moeller and Adam Langley (Google),no,no,,no,0.9.8f to <0.9.8n,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2010-0740.json,30f220a741617706b37196bb89ce48c9bf6df783c7c1e17a3488ae37ba76c378,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2010-0742,2010-06-01,Unknown,Ronald Moesbergen,no,no,,no,0.9.8h to <0.9.8o; 1.0.0 to <1.0.0a,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2010-0742.json,fd3c23b43ae8dfe95856ad434cdd62750e5624632e3668181106adb513b15f1d,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2010-1633,2010-06-01,Unknown,Peter-Michael Hager,no,no,,no,1.0.0 to <1.0.0a,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2010-1633.json,7dcb3b9466344275cf107969be2806430238a3d0c876e594b2789e90a7d77b41,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2010-3864,2010-11-16,Unknown,Rob Hulswit,no,no,,no,1.0.0 to <1.0.0b; 0.9.8 to <0.9.8p,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2010-3864.json,e1ba885a216747a672604a5566d13560c375da118a83fbff8783203308704116,597a9a75044fb94b2823d111fd96ad9607a38189
