record,kind,date,minutes,agent,ai_system,note
1,record,2024-05-28,45.0,human,,llm.c baseline
2,record,2024-06-06,31.4,human,,
3,record,2024-10-04,24.9,human,,
4,record,2024-10-11,22.3,human,,
5,record,2024-10-14,15.2,human,,
6,record,2024-10-18,13.1,human,,
7,record,2024-10-18,12.0,human,,
8,record,2024-11-03,10.8,human,,
9,record,2024-11-06,8.2,human,,
10,record,2024-11-08,7.8,human,,
11,record,2024-11-10,7.2,human,,
12,record,2024-11-19,5.03,human,,
13,record,2024-11-24,4.66,human,,
14,record,2024-12-04,4.41,human,,
15,record,2024-12-08,3.95,human,,
16,record,2024-12-10,3.80,human,,
17,record,2024-12-17,3.57,human,,
18,record,2025-01-04,3.4,human,,
19,record,2025-01-13,3.142,human,,
20,record,2025-01-16,2.992,human,,
21,record,2025-01-26,2.933,human,,
21,retiming,2025-02-01,2.997,human,,record 21 re-timed under the new rules: 10 formerly untimed warmup steps became timed and coordinate_descent_tuning was banned
21,retiming,2025-05-24,3.014,human,,record 21 re-timed again on the then-current torch; this is the comparable baseline for records 22 onward
22,record,2025-05-24,2.990,human,,"first record under the post-record-21 timing rules; compare with the 3.014-minute re-timing of record 21, not its 2.933-minute original"
23,record,2025-05-25,2.979,human,,
24,record,2025-05-30,2.966,human,,
25,record,2025-07-13,2.896,human,,
26,record,2025-07-13,2.863,human,,
27,record,2025-07-18,2.817,human,,
28,record,2025-08-23,2.812,human,,
29,record,2025-09-03,2.731,human,,
30,record,2025-09-05,2.717,human,,
31,record,2025-09-10,2.656,human,,
32,record,2025-09-11,2.625,ai,hiverge.ai,
33,record,2025-09-15,2.565,human,,
34,record,2025-09-18,2.547,human,,
35,record,2025-09-21,2.527,human,,
36,record,2025-09-23,2.495,human,,
37,record,2025-09-27,2.483,human,,
38,record,2025-09-29,2.476,human,,
39,record,2025-09-30,2.447,human,,
40,record,2025-10-04,2.358,human,,
41,record,2025-10-24,2.345,human,,
42,record,2025-10-27,2.313,human,,
43,record,2025-11-10,2.284,human,,
44,record,2025-11-16,2.269,human,,
45,record,2025-11-18,2.248,human,,
46,record,2025-11-29,2.203,human,,
47,record,2025-12-10,2.193,human,,
48,record,2025-12-11,2.170,human,,
49,record,2025-12-14,2.146,human,,
50,record,2025-12-18,2.128,human,,
51,record,2025-12-19,2.075,human,,
52,record,2025-12-21,2.037,human,,
53,record,2025-12-22,1.988,human,,
54,record,2025-12-26,1.940,human,,
55,record,2025-12-29,1.918,human,,
56,record,2025-12-31,1.894,human,,
57,record,2026-01-04,1.878,human,,
58,record,2026-01-07,1.820,human,,
59,record,2026-01-10,1.781,human,,
60,record,2026-01-16,1.765,ai,Locus,
61,record,2026-01-18,1.748,human,,
62,record,2026-01-19,1.655,human,,
63,record,2026-01-26,1.650,human,,
64,record,2026-01-30,1.630,human,,
65,record,2026-01-30,1.613,human,,
66,record,2026-01-31,1.595,human,,
67,record,2026-01-31,1.540,human,,
68,record,2026-01-31,1.535,human,,
69,record,2026-02-02,1.528,ai,Aster,
70,record,2026-02-03,1.521,human,,
71,record,2026-02-06,1.516,human,,
72,record,2026-02-10,1.496,ai,Station,
73,record,2026-02-12,1.485,human,,
74,record,2026-02-16,1.468,human,,
75,record,2026-02-23,1.453,human,,
76,record,2026-02-28,1.446,human,,
77,record,2026-03-06,1.435,human,,
78,record,2026-03-22,1.426,human,,
79,record,2026-04-04,1.411,human,,
80,record,2026-04-08,1.406,human,,
81,record,2026-04-22,1.363,human,,
82,record,2026-04-29,1.353,human,,
83,record,2026-05-20,1.328,human,,
84,record,2026-05-21,1.320,human,,
85,record,2026-05-27,1.271,human,,
86,record,2026-05-27,1.266,human,,
87,record,2026-06-11,1.256,ai,Recursive,faster ReLU^2 kernel; credited to @cong_ml and AI System Recursive
88,record,2026-07-13,1.243,human,,
89,record,2026-07-17,1.23,human,,
